UID,Chemical,Time,Temperature,Na,Cu,O,Fe,Mn,Ni,P2O3ratio,Cat_Success
U00001,NaCuO2,12,950,1.0,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00002,NaFeO2,12,950,1.0,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00003,NaMnO2,12,950,1.0,0.0,2.0,0.0,1.0,0.0,0.8,Successful
U00004,NaNiO2,12,950,1.0,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00005,NaCu0.5Fe0.5O2,12,950,1.0,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00006,NaCu0.5Mn0.5O2,12,950,1.0,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00007,NaCu0.5Ni0.5O2,12,950,1.0,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00008,NaFe0.5Mn0.5O2,12,950,1.0,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00009,NaFe0.5Ni0.5O2,12,950,1.0,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00010,NaMn0.5Ni0.5O2,12,950,1.0,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00011,NaCu1/3Fe1/3Mn1/3O2,12,950,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,0.75,Successful
U00012,NaCu1/3Fe1/3Ni1/3O2,12,950,1.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00013,NaCu1/3Mn1/3Ni1/3O2,12,950,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00014,NaFe1/3Mn1/3Ni1/3O2,12,950,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,Successful
U00015,NaCu0.25Fe0.25Mn0.25Ni0.25O2,12,950,1.0,0.25,2.0,0.25,0.25,0.25,0.82,Successful
U00016,Na0.75CuO2,12,950,0.75,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00017,Na0.75FeO2,12,950,0.75,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00018,Na0.75MnO2,12,950,0.75,0.0,2.0,0.0,1.0,0.0,0.85,Successful
U00019,Na0.75NiO2,12,950,0.75,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00020,Na0.75Cu0.5Fe0.5O2,12,950,0.75,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00021,Na0.75Cu0.5Mn0.5O2,12,950,0.75,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00022,Na0.75Cu0.5Ni0.5O2,12,950,0.75,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00023,Na0.75Fe0.5Mn0.5O2,12,950,0.75,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00024,Na0.75Fe0.5Ni0.5O2,12,950,0.75,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00025,Na0.75Mn0.5Ni0.5O2,12,950,0.75,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00026,Na0.75Cu0.3Fe0.3Mn0.3O2,12,950,0.75,0.3,2.0,0.3,0.3,0.0,0.95,Successful
U00027,Na0.75Cu0.3Fe0.3Ni0.3O2,12,950,0.75,0.3,2.0,0.3,0.0,0.3,-1.0,Unsuccessful
U00028,Na0.75Cu0.3Mn0.3Ni0.3O2,12,950,0.75,0.3,2.0,0.0,0.3,0.3,1.0,Successful
U00029,Na0.75Fe0.3Mn0.3Ni0.3O2,12,950,0.75,0.0,2.0,0.3,0.3,0.3,0.96,Successful
U00030,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,12,950,0.75,0.25,2.0,0.25,0.25,0.25,0.98,Successful
U00031,Na0.5CuO2,12,950,0.5,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00032,Na0.5FeO2,12,950,0.5,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00033,Na0.5MnO2,12,950,0.5,0.0,2.0,0.0,1.0,0.0,0.32,Successful
U00034,Na0.5NiO2,12,950,0.5,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00035,Na0.5Cu0.5Fe0.5O2,12,950,0.5,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00036,Na0.5Cu0.5Mn0.5O2,12,950,0.5,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00037,Na0.5Cu0.5Ni0.5O2,12,950,0.5,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00038,Na0.5Fe0.5Mn0.5O2,12,950,0.5,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00039,Na0.5Fe0.5Ni0.5O2,12,950,0.5,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00040,Na0.5Mn0.5Ni0.5O2,12,950,0.5,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00041,Na0.5Cu1/3Fe1/3Mn1/3O2,12,950,0.5,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,1.0,Successful
U00042,Na0.5Cu1/3Fe1/3Ni1/3O2,12,950,0.5,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00043,Na0.5Cu1/3Mn1/3Ni1/3O2,12,950,0.5,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00044,Na0.5Fe1/3Mn1/3Ni1/3O2,12,950,0.5,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,Successful
U00045,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,12,950,0.5,0.25,2.0,0.25,0.25,0.25,1.0,Successful
U00046,NaCuO2,6,950,1.0,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00047,NaFeO2,6,950,1.0,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00048,NaMnO2,6,950,1.0,0.0,2.0,0.0,1.0,0.0,0.81,Successful
U00049,NaNiO2,6,950,1.0,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00050,NaCu0.5Fe0.5O2,6,950,1.0,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00051,NaCu0.5Mn0.5O2,6,950,1.0,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00052,NaCu0.5Ni0.5O2,6,950,1.0,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00053,NaFe0.5Mn0.5O2,6,950,1.0,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00054,NaFe0.5Ni0.5O2,6,950,1.0,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00055,NaMn0.5Ni0.5O2,6,950,1.0,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00056,NaCu1/3Fe1/3Mn1/3O2,6,950,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,1.0,Successful
U00057,NaCu1/3Fe1/3Ni1/3O2,6,950,1.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00058,NaCu1/3Mn1/3Ni1/3O2,6,950,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00059,NaFe1/3Mn1/3Ni1/3O2,6,950,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.58,Successful
U00060,NaCu0.25Fe0.25Mn0.25Ni0.25O2,6,950,1.0,0.25,2.0,0.25,0.25,0.25,0.54,Successful
U00061,Na0.75CuO2,6,950,0.75,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00062,Na0.75FeO2,6,950,0.75,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00063,Na0.75MnO2,6,950,0.75,0.0,2.0,0.0,1.0,0.0,0.89,Successful
U00064,Na0.75NiO2,6,950,0.75,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00065,Na0.75Cu0.5Fe0.5O2,6,950,0.75,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00066,Na0.75Cu0.5Mn0.5O2,6,950,0.75,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00067,Na0.75Cu0.5Ni0.5O2,6,950,0.75,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00068,Na0.75Fe0.5Mn0.5O2,6,950,0.75,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00069,Na0.75Fe0.5Ni0.5O2,6,950,0.75,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00070,Na0.75Mn0.5Ni0.5O2,6,950,0.75,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00071,Na0.75Cu1/3Fe1/3Mn1/3O2,6,950,0.75,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,1.0,Successful
U00072,Na0.75Cu1/3Fe1/3Ni1/3O2,6,950,0.75,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00073,Na0.75Cu1/3Mn1/3Ni1/3O2,6,950,0.75,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00074,Na0.75Fe1/3Mn1/3Ni1/3O2,6,950,0.75,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.83,Successful
U00075,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,6,950,0.75,0.25,2.0,0.25,0.25,0.25,0.57,Successful
U00076,Na0.5CuO2,6,950,0.5,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00077,Na0.5FeO2,6,950,0.5,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00078,Na0.5MnO2,6,950,0.5,0.0,2.0,0.0,1.0,0.0,-1.0,Unsuccessful
U00079,Na0.5NiO2,6,950,0.5,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00080,Na0.5Cu0.5Fe0.5O2,6,950,0.5,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00081,Na0.5Cu0.5Mn0.5O2,6,950,0.5,0.5,2.0,0.0,0.5,0.0,-1.0,Unsuccessful
U00082,Na0.5Cu0.5Ni0.5O2,6,950,0.5,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00083,Na0.5Fe0.5Mn0.5O2,6,950,0.5,0.0,2.0,0.5,0.5,0.0,0.78,Successful
U00084,Na0.5Fe0.5Ni0.5O2,6,950,0.5,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00085,Na0.5Mn0.5Ni0.5O2,6,950,0.5,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00086,Na0.5Cu0.3Fe0.3Mn0.3O2,6,950,0.5,0.3,2.0,0.3,0.3,0.0,1.0,Successful
U00087,Na0.5Cu0.3Fe0.3Ni0.3O2,6,950,0.5,0.3,2.0,0.3,0.0,0.3,-1.0,Unsuccessful
U00088,Na0.5Cu0.3Mn0.3Ni0.3O2,6,950,0.5,0.3,2.0,0.0,0.3,0.3,1.0,Successful
U00089,Na0.5Fe0.3Mn0.3Ni0.3O2,6,950,0.5,0.0,2.0,0.3,0.3,0.3,1.0,Successful
U00090,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,6,950,0.5,0.25,2.0,0.25,0.25,0.25,1.0,Successful
U00091,NaCuO2,3,950,1.0,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00092,NaFeO2,3,950,1.0,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00093,NaMnO2,3,950,1.0,0.0,2.0,0.0,1.0,0.0,0.58,Successful
U00094,NaNiO2,3,950,1.0,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00095,NaCu0.5Fe0.5O2,3,950,1.0,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00096,NaCu0.5Mn0.5O2,3,950,1.0,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00097,NaCu0.5Ni0.5O2,3,950,1.0,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00098,NaFe0.5Mn0.5O2,3,950,1.0,0.0,2.0,0.5,0.5,0.0,0.8,Successful
U00099,NaFe0.5Ni0.5O2,3,950,1.0,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00100,NaMn0.5Ni0.5O2,3,950,1.0,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00101,NaCu1/3Fe1/3Mn1/3O2,3,950,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,0.57,Successful
U00102,NaCu1/3Fe1/3Ni1/3O2,3,950,1.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00103,NaCu1/3Mn1/3Ni1/3O2,3,950,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00104,NaFe1/3Mn1/3Ni1/3O2,3,950,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41,Successful
U00105,NaCu0.25Fe0.25Mn0.25Ni0.25O2,3,950,1.0,0.25,2.0,0.25,0.25,0.25,0.81,Successful
U00106,Na0.75CuO2,3,950,0.75,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00107,Na0.75FeO2,3,950,0.75,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00108,Na0.75MnO2,3,950,0.75,0.0,2.0,0.0,1.0,0.0,0.85,Successful
U00109,Na0.75NiO2,3,950,0.75,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00110,Na0.75Cu0.5Fe0.5O2,3,950,0.75,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00111,Na0.75Cu0.5Mn0.5O2,3,950,0.75,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00112,Na0.75Cu0.5Ni0.5O2,3,950,0.75,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00113,Na0.75Fe0.5Mn0.5O2,3,950,0.75,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00114,Na0.75Fe0.5Ni0.5O2,3,950,0.75,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00115,Na0.75Mn0.5Ni0.5O2,3,950,0.75,0.0,2.0,0.0,0.5,0.5,1.0,Successful
U00116,Na0.75Cu1/3Fe1/3Mn1/3O2,3,950,0.75,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,0.8,Successful
U00117,Na0.75Cu1/3Fe1/3Ni1/3O2,3,950,0.75,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00118,Na0.75Cu1/3Mn1/3Ni1/3O2,3,950,0.75,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00119,Na0.75Fe1/3Mn1/3Ni1/3O2,3,950,0.75,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,Successful
U00120,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,3,950,0.75,0.25,2.0,0.25,0.25,0.25,-1.0,Unsuccessful
U00121,Na0.5CuO2,3,950,0.5,1.0,2.0,0.0,0.0,0.0,-1.0,Unsuccessful
U00122,Na0.5FeO2,3,950,0.5,0.0,2.0,1.0,0.0,0.0,-1.0,Unsuccessful
U00123,Na0.5MnO2,3,950,0.5,0.0,2.0,0.0,1.0,0.0,-1.0,Unsuccessful
U00124,Na0.5NiO2,3,950,0.5,0.0,2.0,0.0,0.0,1.0,-1.0,Unsuccessful
U00125,Na0.5Cu0.5Fe0.5O2,3,950,0.5,0.5,2.0,0.5,0.0,0.0,-1.0,Unsuccessful
U00126,Na0.5Cu0.5Mn0.5O2,3,950,0.5,0.5,2.0,0.0,0.5,0.0,1.0,Successful
U00127,Na0.5Cu0.5Ni0.5O2,3,950,0.5,0.5,2.0,0.0,0.0,0.5,-1.0,Unsuccessful
U00128,Na0.5Fe0.5Mn0.5O2,3,950,0.5,0.0,2.0,0.5,0.5,0.0,1.0,Successful
U00129,Na0.5Fe0.5Ni0.5O2,3,950,0.5,0.0,2.0,0.5,0.0,0.5,-1.0,Unsuccessful
U00130,Na0.5Mn0.5Ni0.5O2,3,950,0.5,0.0,2.0,0.0,0.5,0.5,-1.0,Unsuccessful
U00131,Na0.5Cu1/3Fe1/3Mn1/3O2,3,950,0.5,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,1.0,Successful
U00132,Na0.5Cu1/3Fe1/3Ni1/3O2,3,950,0.5,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,-1.0,Unsuccessful
U00133,Na0.5Cu1/3Mn1/3Ni1/3O2,3,950,0.5,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,Successful
U00134,Na0.5Fe1/3Mn1/3Ni1/3O2,3,950,0.5,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,Successful
U00135,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,3,950,0.5,0.25,2.0,0.25,0.25,0.25,0.95,Successful
U00136,NaMn2/3Cu1/6Fe1/6O2,12,950,1.0,0.16666666666666666,2.0,0.16666666666666666,0.6666666666666666,0.0,1.0,Successful
U00137,NaNi2/3Fe1/6Cu1/6O2,12,950,1.0,0.16666666666666666,2.0,0.16666666666666666,0.0,0.6666666666666666,-1.0,Unsuccessful
U00138,NaMn2/3Ni1/6Cu1/6O2,12,950,1.0,0.16666666666666666,2.0,0.0,0.6666666666666666,0.16666666666666666,1.0,Successful
U00139,NaMn2/3Fe1/6Ni1/6O2,12,950,1.0,0.0,2.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,Successful
U00140,NaFe2/3Cu1/6Mn1/6O2,12,950,1.0,0.16666666666666666,2.0,0.6666666666666666,0.16666666666666666,0.0,0.21,Successful
U00141,NaFe2/3Cu1/6Ni1/6O2,12,950,1.0,0.16666666666666666,2.0,0.6666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00142,NaNi2/3Cu1/6Mn1/6O2,12,950,1.0,0.16666666666666666,2.0,0.0,0.16666666666666666,0.6666666666666666,0.0,Successful
U00143,NaFe2/3Ni1/6Mn1/6O2,12,950,1.0,0.0,2.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,Successful
U00144,NaCu2/3Fe1/6Mn1/6O2,12,950,1.0,0.6666666666666666,2.0,0.16666666666666666,0.16666666666666666,0.0,0.72,Successful
U00145,NaCu2/3Ni1/6Fe1/6O2,12,950,1.0,0.6666666666666666,2.0,0.16666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00146,NaCu2/3Ni1/6Mn1/6O2,12,950,1.0,0.6666666666666666,2.0,0.0,0.16666666666666666,0.16666666666666666,1.0,Successful
U00147,NaNi2/3Fe1/6Mn1/6O2,12,950,1.0,0.0,2.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.7,Successful
U00148,NaCu2/3Ni1/9Mn1/9Fe1/9O2,12,950,1.0,0.6666666666666666,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,Successful
U00149,NaFe2/3Cu1/9Mn1/9Ni1/9O2,12,950,1.0,0.1111111111111111,2.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,Successful
U00150,NaNi2/3Fe1/9Cu1/9Mn1/9O2,12,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,1.0,Successful
U00151,NaMn2/3Cu1/9Fe1/9Ni1/9O2,12,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,1.0,Successful
U00152,NaMn1/9Cu8/27Fe8/27Ni8/27O2,12,950,1.0,0.2962962962962963,2.0,0.2962962962962963,0.1111111111111111,0.2962962962962963,-1.0,Unsuccessful
U00153,NaNi1/9Cu8/27Fe8/27Mn8/27O2,12,950,1.0,0.2962962962962963,2.0,0.2962962962962963,0.2962962962962963,0.1111111111111111,0.81,Successful
U00154,NaFe1/9Mn8/27Cu8/27Ni8/27O2,12,950,1.0,0.2962962962962963,2.0,0.1111111111111111,0.2962962962962963,0.2962962962962963,1.0,Successful
U00155,NaCu1/9Mn8/27Fe8/27Ni8/27O2,12,950,1.0,0.1111111111111111,2.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.92,Successful
U00156,NaFe7/18Ni7/18Cu1/9Mn1/9O2,12,950,1.0,0.1111111111111111,2.0,0.3888888888888889,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
U00157,NaCu7/18Ni7/18Fe1/9Mn1/9O2,12,950,1.0,0.3888888888888889,2.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
